Team,Date,wins_before_date,losses_before_date,opponent_wins_before_date,opponent_losses_before_date,Opponent,Team_FG_pct,Team_2_pct,Team_3_pct,Team_FT_pct,Team_Points,Opp_FG_pct,Opp_2_pct,Opp_3_pct,Opp_FT_pct,Opp_Points
Dean,2025-11-04,0,0,0,0,Vermont,.234,.233,.235,.500,31,.683,.754,.520,.750,137
Coastal Georgia,2025-12-12,0,0,6,3,Ga. Southern,.338,.382,.302,.600,74,.685,.778,.536,.724,136
Charleston,2025-11-03,0,0,0,0,Covenant,.548,.641,.345,.852,135,.239,.400,.115,.800,41
MVSU,2025-12-06,1,6,9,1,Oklahoma St.,.293,.298,.273,.750,46,.672,.833,.484,.875,133
Saint Louis,2025-12-28,6,7,0,0,Stl Pharmacy,.576,.681,.447,.773,132,.268,.306,.182,.846,53
Oakwood,2025-12-10,0,1,8,1,Troy,.328,.359,.286,.588,62,.576,.580,.571,.636,132
Niagara,2025-11-30,0,6,5,1,Ohio St.,.159,.174,.118,.833,32,.612,.689,.417,.667,130
Bluefield Univ.,2025-11-14,0,0,2,1,Longwood,.292,.343,.154,.500,31,.489,.522,.400,.703,128
N.C. Central,2025-12-22,2,9,11,1,Oklahoma,.234,.217,.278,.655,54,.545,.586,.467,.800,126
LSU,2025-12-07,9,0,0,7,New Orleans,.588,.648,.286,.733,126,.306,.306,.308,.762,62
Converse,2025-11-03,0,0,0,0,Wofford,.298,.435,.206,.750,65,.585,.639,.429,.750,126
Santa Clara,2025-12-06,7,3,0,0,Simpson (CA),.473,.646,.289,.828,125,.259,.256,.273,.667,43
Mercyhurst,2025-11-04,0,0,0,0,Michigan St.,.343,.400,.300,.900,39,.620,.706,.464,.700,125
Sacramento St.,2025-11-03,0,0,0,0,Stanton,.605,.714,.304,.591,124,.341,.294,.375,.400,39
Incarnate Word,2025-11-03,0,0,0,0,Texas,.277,.333,.176,.688,51,.654,.721,.412,.824,123
FIU,2025-12-30,6,4,0,0,Florida National,.527,.655,.303,.500,122,.290,.250,.429,.750,30
TCU,2025-11-12,2,0,0,2,Tennessee St.,.588,.561,.630,.735,122,.281,.317,.188,.444,39
Wilbeforce,2025-11-12,0,0,1,1,Wright St.,.283,.364,.063,.571,47,.558,.641,.474,.783,122
Queens (NC),2025-11-23,3,2,5,0,South Carolina,.229,.167,.321,.800,49,.662,.778,.400,.794,121
Hesston College,2025-11-20,0,0,1,3,UMKC,.269,.241,.304,.571,43,.608,.586,.688,.645,121
La. Christian,2025-11-11,0,0,0,2,Louisiana Tech,.183,.212,.148,1.000,34,.510,.576,.375,.692,121
Longwood,2025-11-05,0,0,0,0,Randolph,.540,.576,.464,.824,121,.246,.262,.200,.333,35
Southeastern LA,2025-12-28,2,7,14,0,Texas,.333,.341,.250,.467,38,.600,.690,.364,.640,120
Fla. Gulf Coast,2025-12-22,3,6,0,0,Ft. Lauderdale,.671,.792,.440,.733,120,.226,.235,.211,.286,32
Binghamton,2025-11-18,2,1,3,0,Michigan,.340,.387,.263,.688,50,.662,.708,.550,.655,120
